Max degree of separation: 14 between James Whitmore and Donald Burton
Total degree of separation: 434216 between 87641 total pairs
Graph avg degree of separation: 4.954484773108477
50 Cent, avg degree separation 4.461016949152542
Abe Vigoda, avg degree separation 4.352542372881356
Adam Brody, avg degree separation 4.569491525423729
Adrian Grenier, avg degree separation 4.589830508474576
Adrianne Palicki, avg degree separation 4.569491525423729
Alan Arkin, avg degree separation 4.386440677966101
Alan Rickman, avg degree separation 4.501694915254237
Albert Finney, avg degree separation 4.501694915254237
Alec Baldwin, avg degree separation 4.603389830508474
Alexander Godunov, avg degree separation 4.501694915254237
Alexandra Powers, avg degree separation 4.5288135593220336
Amanda Plummer, avg degree separation 4.284745762711864
Andie MacDowell, avg degree separation 9.59322033898305
Annette Bening, avg degree separation 4.5152542372881355
Anthony Zerbe, avg degree separation 7.667796610169492
Antonio Banderas, avg degree separation 6.1084745762711865
Anya Taylor-Joy, avg degree separation 2.0
Arian Moayed, avg degree separation 4.576271186440678
Arnold Schwarzenegger, avg degree separation 4.5423728813559325
Barbara Hershey, avg degree separation 4.501694915254237
Ben Affleck, avg degree separation 4.5152542372881355
Ben Foster, avg degree separation 6.5152542372881355
Ben Kingsley, avg degree separation 4.440677966101695
Benicio del Toro, avg degree separation 4.5288135593220336
Bernie Mac, avg degree separation 6.176271186440678
Betty Buckley, avg degree separation 2.0
Bill Murray, avg degree separation 4.433898305084746
Billy Bob Thornton, avg degree separation 4.5152542372881355
Bob Balaban, avg degree separation 4.47457627118644
Bonnie Bedelia, avg degree separation 4.338983050847458
Boris Kodjoe, avg degree separation 4.583050847457627
Brad Dourif, avg degree separation 4.589830508474576
Brad Pitt, avg degree separation 4.603389830508474
Brenda Vaccaro, avg degree separation 6.244067796610169
Brion James, avg degree separation 8.779661016949152
Brittany Murphy, avg degree separation 4.5288135593220336
Bruce Dern, avg degree separation 4.5288135593220336
Bruce Willis, avg degree separation 2.623728813559322
Buck Henry, avg degree separation 4.501694915254237
Cameron Diaz, avg degree separation 6.176271186440678
Catherine Keener, avg degree separation 4.447457627118644
Channing Tatum, avg degree separation 4.569491525423729
Charlotte Rampling, avg degree separation 6.888135593220339
Chelsea Field, avg degree separation 4.589830508474576
Cheryl Chase, avg degree separation 7.559322033898305
Chi McBride, avg degree separation 4.583050847457627
Chris Tucker, avg degree separation 4.562711864406779
Christopher Lloyd, avg degree separation 4.223728813559322
Christopher Meloni, avg degree separation 4.379661016949153
Christopher Plummer, avg degree separation 4.603389830508474
Christopher Walken, avg degree separation 4.16271186440678
Chuck Norris, avg degree separation 4.5423728813559325
